conversation_id,timestamp,customer_id,conversation_text,intent,channel,resolved,escalated,response_time_seconds,conversation_length
CONV-00190,2026-04-14 10:20:00,CUST-6168,"Customer: My payment failed but money was deducted from my account.
Bot: Sorry about that. I've arranged a free pickup and a replacement for the correct item.
Customer: Great, that worked. Thanks!
Bot: Happy to help. Your issue has been marked as resolved.",Order/Transaction,web,True,False,3.2,4
CONV-00174,2026-04-14 12:23:00,CUST-5808,"Customer: Hi. Does the app work offline?
Bot: I understand. Let me check that for you.
Customer: Can you be more specific about the limits?
Bot: I can help with that. Could you share a few more details?
Customer: I want to talk to a human agent.
Bot: Sorry, all our agents are busy right now. Please try again later.
Customer: Never mind.",Product Information,web,False,False,3.0,7
CONV-00017,2026-04-14 20:22:00,CUST-4456,"Customer: Hello?
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: You're not understanding my question.
Bot: For partnership enquiries, please use the Business page on our website.
Customer: Okay, got it. Thanks for the help.
Bot: Glad I could help! Is there anything else I can do for you?",Other,web,True,False,4.8,6
CONV-00142,2026-04-15 08:51:00,CUST-4295,"Customer: Hi. Pages are loading really slowly for me today.
Bot: We had a brief service disruption that is now fixed. Could you try again?
Customer: Okay, got it. Thanks for the help.
Bot: Glad I could help! Is there anything else I can do for you?",Technical Issue,mobile_app,True,False,4.5,4
CONV-00137,2026-04-15 08:53:00,CUST-2133,"Customer: Hey, I'm really frustrated, the product stopped working after one week.
Bot: I can help with that. Could you share a few more details?
Customer: You're not listening. This is the same problem again.
Bot: I apologise for the inconvenience. I've shared your feedback with the delivery team and added a credit to your account.
Customer: I need to speak with a human, this is urgent.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: I'm sorry for the repeated trouble. I've arranged a replacement and a goodwill credit.
Customer: Okay, thank you for fixing it.",Complaint,mobile_app,True,True,16.1,8
CONV-00228,2026-04-15 16:50:00,CUST-9317,"Customer: Hello, The export button isn't working, nothing downloads.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I already updated the app and cleared the cache, it still crashes.
Bot: I can help with that. Could you share a few more details?
Customer: Hello, The export button isn't working, nothing downloads.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: That doesn't answer my question at all.",Technical Issue,messaging,False,False,3.3,7
CONV-00113,2026-04-16 11:19:00,CUST-6977,"Customer: Hey, Hi, I was charged twice for my subscription this month.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: That's not what I asked. I was charged twice, not once.
Bot: Your bill includes a one-time plan upgrade charge from the 12th. You can view the itemised invoice under Billing > Invoices.
Customer: Can I speak to a real person please?
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: Thanks for waiting. I've corrected the invoice and emailed you the updated copy.
Customer: Thank you, that's sorted then.",Billing,web,True,True,11.4,8
CONV-00176,2026-04-16 14:19:00,CUST-4593,"Customer: Hello, Cancel my plan before the next renewal date.
Bot: I've cancelled your subscription. You'll keep access until the end of the current billing period.
Customer: Perfect, thank you so much.
Bot: You're welcome! Have a great day.",Cancellation,mobile_app,True,False,2.0,4
CONV-00007,2026-04-16 14:37:00,CUST-6107,"Customer: Hello, This is the worst service I've ever had. Nobody is helping me.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I don't want an apology, I want this fixed.
Bot: I'm really sorry about your experience. I've logged a formal complaint and a team member will follow up within 24 hours.
Customer: Perfect, thank you so much.
Bot: You're welcome! Have a great day.",Complaint,web,True,False,4.2,6
CONV-00208,2026-04-16 18:49:00,CUST-5386,"Customer: My refund was approved but the amount is less than what I paid.
Bot: The difference is the original shipping fee, which is non-refundable under our policy.
Customer: Okay, got it. Thanks for the help.
Bot: You're welcome! Have a great day.",Refund,web,True,False,2.4,4
CONV-00219,2026-04-17 17:45:00,CUST-4483,"Customer: Hi. I returned my item two weeks ago and still haven't got my refund.
Bot: I'm sorry the product was damaged. I've initiated a full refund; no return is needed.
Customer: Thanks, that's helpful.
Bot: Glad I could help! Is there anything else I can do for you?",Refund,web,True,False,2.3,4
CONV-00117,2026-04-17 18:32:00,CUST-6155,"Customer: Can I change the delivery address for my order?
Bot: I've updated the delivery address. You'll receive a confirmation email shortly.
Customer: Okay, got it. Thanks for the help.
Bot: You're welcome! Have a great day.",Order/Transaction,web,True,False,4.0,4
CONV-00069,2026-04-17 20:33:00,CUST-1434,"Customer: Does the premium plan include priority support?
Bot: The pro plan adds team accounts, advanced reports and higher usage limits. You can compare plans on the pricing page.
Customer: Okay, got it. Thanks for the help.
Bot: Glad I could help! Is there anything else I can do for you?",Product Information,web,True,False,2.0,4
CONV-00092,2026-04-18 11:04:00,CUST-7924,"Customer: Pages are loading really slowly for me today.
Bot: Please check that notifications are enabled for the app in your phone settings.
Customer: Perfect, thank you so much.
Bot: Glad I could help! Is there anything else I can do for you?",Technical Issue,mobile_app,True,False,2.8,4
CONV-00134,2026-04-18 22:20:00,CUST-9085,"Customer: Can I get a refund instead of store credit?
Bot: I understand. Let me check that for you.
Customer: I don't want store credit, I want my money back.
Bot: I'm sorry the product was damaged. I've initiated a full refund; no return is needed.
Customer: I want to talk to a human agent.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: I've reviewed your case and approved a refund of the shipping fee as well.
Customer: I'll wait for the follow-up, but I'm not happy.",Refund,web,False,True,9.8,8
CONV-00022,2026-04-19 07:02:00,CUST-9928,"Customer: Hey, What's the difference between the basic and pro plans?
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: Can you be more specific about the limits?
Bot: Yes, the premium plan includes priority support with faster response times.
Customer: Can I speak to a real person please?
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: Hi, I'm a product specialist. Here are the full specifications you asked about.
Customer: Thank you, that's sorted then.",Product Information,web,True,True,14.2,8
CONV-00151,2026-04-19 07:16:00,CUST-3103,"Customer: The export button isn't working, nothing downloads.
Bot: Please update the app to the latest version and clear the cache. That resolves this crash in most cases.
Customer: Thanks, that's helpful.
Bot: Glad I could help! Is there anything else I can do for you?",Technical Issue,mobile_app,True,False,4.0,4
CONV-00209,2026-04-19 09:45:00,CUST-5304,"Customer: Hey, Your delivery partner was rude and left my parcel outside in the rain.
Bot: I'm really sorry about your experience. I've logged a formal complaint and a team member will follow up within 24 hours.
Customer: Perfect, thank you so much.
Bot: You're welcome! Have a great day.",Complaint,web,True,False,2.6,4
CONV-00122,2026-04-19 13:38:00,CUST-4258,"Customer: I have a question about something else.
Bot: I can help with that. Could you share a few more details?
Customer: Can I talk to someone else about this?
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: Still not working. I give up.",Other,web,False,False,3.8,5
CONV-00205,2026-04-19 15:05:00,CUST-7065,"Customer: Hello, What's the difference between the basic and pro plans?
Bot: The product comes with a 12-month warranty covering manufacturing defects.
Customer: That solved it, thanks.
Bot: Glad I could help! Is there anything else I can do for you?",Product Information,messaging,True,False,1.7,4
CONV-00232,2026-04-19 15:20:00,CUST-4257,"Customer: Hi. Does the premium plan include priority support?
Bot: The product comes with a 12-month warranty covering manufacturing defects.
Customer: Perfect, thank you so much.
Bot: Happy to help. Your issue has been marked as resolved.",Product Information,web,True,False,5.6,4
CONV-00129,2026-04-19 16:02:00,CUST-3287,"Customer: Hey, I want a refund for a product that arrived damaged.
Bot: I understand. Let me check that for you.
Customer: I don't want store credit, I want my money back.
Bot: I've created a ticket and escalated this to our specialist team. They will contact you by email within 24 hours.
Customer: Okay. I hope it actually gets fixed this time.",Refund,messaging,False,True,18.2,5
CONV-00171,2026-04-19 18:19:00,CUST-4814,"Customer: I returned my item two weeks ago and still haven't got my refund.
Bot: I understand. Let me check that for you.
Customer: It has been more than 7 business days already.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: This isn't helping. Forget it.",Refund,mobile_app,False,False,3.0,5
CONV-00213,2026-04-20 08:39:00,CUST-5374,"Customer: How do I close my account permanently?
Bot: Your order has been cancelled and any payment will be refunded to the original method.
Customer: Okay, got it. Thanks for the help.
Bot: You're welcome! Have a great day.",Cancellation,mobile_app,True,False,4.3,4
CONV-00085,2026-04-20 09:11:00,CUST-2743,"Customer: Does the premium plan include priority support?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: Can you be more specific about the limits?
Bot: The pro plan adds team accounts, advanced reports and higher usage limits. You can compare plans on the pricing page.
Customer: Perfect, thank you so much.
Bot: Happy to help. Your issue has been marked as resolved.",Product Information,web,True,False,5.8,6
CONV-00014,2026-04-20 14:55:00,CUST-6925,"Customer: My account is locked after too many attempts.
Bot: I've re-sent the verification code. It can take up to two minutes to arrive.
Customer: Thanks, that's helpful.
Bot: Happy to help. Your issue has been marked as resolved.",Account/Login,messaging,True,False,2.2,4
CONV-00226,2026-04-21 08:06:00,CUST-7916,"Customer: I see an extra charge on my invoice that I don't recognise.
Bot: I understand. Let me check that for you.
Customer: Again, the amount on my bill is wrong.
Bot: I can see a duplicate charge on your account. I've raised a reversal and it should reflect in 3-5 business days.
Customer: Transfer me to customer service, this bot isn't helping.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: Hi, this is a support specialist. I've reviewed your billing history and issued a refund for the duplicate charge.
Customer: Okay. I hope it actually gets fixed this time.",Billing,mobile_app,False,True,22.6,8
CONV-00239,2026-04-21 13:54:00,CUST-4814,"Customer: Hi. How do I track my shipment?
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: The tracking page just says 'in transit' and nothing else.
Bot: I've updated the delivery address. You'll receive a confirmation email shortly.
Customer: I want to talk to a human agent.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: I've confirmed with our payments team and the reversal has been processed today.
Customer: Thank you, that's sorted then.",Order/Transaction,web,True,True,10.1,8
CONV-00095,2026-04-21 15:28:00,CUST-5333,"Customer: My payment went through but the invoice still shows as unpaid.
Bot: I can help with that. Could you share a few more details?
Customer: Again, the amount on my bill is wrong.
Bot: I can see a duplicate charge on your account. I've raised a reversal and it should reflect in 3-5 business days.
Customer: Okay, got it. Thanks for the help.
Bot: Glad I could help! Is there anything else I can do for you?",Billing,mobile_app,True,False,5.6,6
CONV-00187,2026-04-21 21:29:00,CUST-9669,"Customer: I returned my item two weeks ago and still haven't got my refund.
Bot: I can help with that. Could you share a few more details?
Customer: It has been more than 7 business days already.
Bot: The difference is the original shipping fee, which is non-refundable under our policy.
Customer: Great, that worked. Thanks!
Bot: Glad I could help! Is there anything else I can do for you?",Refund,web,True,False,1.5,6
CONV-00133,2026-04-21 21:41:00,CUST-3340,"Customer: Can you explain the late fee on my latest bill?
Bot: I understand. Let me check that for you.
Customer: That's not what I asked. I was charged twice, not once.
Bot: Your payment is confirmed. The invoice status updates within 24 hours; I've refreshed it for you now.
Customer: Please connect me to a live agent.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: Hi, this is a support specialist. I've reviewed your billing history and issued a refund for the duplicate charge.
Customer: Okay. I hope it actually gets fixed this time.",Billing,mobile_app,False,True,9.6,8
CONV-00169,2026-04-22 08:36:00,CUST-3504,"Customer: Hey, I received the wrong item in my order.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I asked about my order, not a generic tracking link.
Bot: Your order is out for delivery and should arrive today. You can track it under Orders > Track shipment.
Customer: I want to talk to a human agent.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: Hi, I'm from the orders team. I've contacted the courier and your package will be delivered tomorrow.
Customer: Okay. I hope it actually gets fixed this time.",Order/Transaction,messaging,False,True,20.8,8
CONV-00212,2026-04-22 20:52:00,CUST-5889,"Customer: I can't log in to my account, it keeps saying invalid password.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I still haven't received the reset email.
Bot: I've sent a new password reset link. Please check your spam folder as well; the link is valid for 30 minutes.
Customer: That solved it, thanks.
Bot: Glad I could help! Is there anything else I can do for you?",Account/Login,web,True,False,4.8,6
CONV-00093,2026-04-22 21:02:00,CUST-6820,"Customer: Hello, Where is my order? It was supposed to arrive yesterday.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I asked about my order, not a generic tracking link.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: Can I speak to a real person please?
Bot: Sorry, all our agents are busy right now. Please try again later.
Customer: Never mind.",Order/Transaction,messaging,False,False,3.3,7
CONV-00191,2026-04-22 21:22:00,CUST-1711,"Customer: What is the warranty period on this product?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: That's not what I asked, I wanted to know about the size.
Bot: Yes, the premium plan includes priority support with faster response times.
Customer: Thanks, that's helpful.
Bot: Happy to help. Your issue has been marked as resolved.",Product Information,messaging,True,False,4.8,6
CONV-00240,2026-04-23 07:14:00,CUST-5386,"Customer: Hey, Where is my order? It was supposed to arrive yesterday.
Bot: Sorry about that. I've arranged a free pickup and a replacement for the correct item.
Customer: Perfect, thank you so much.
Bot: Happy to help. Your issue has been marked as resolved.",Order/Transaction,mobile_app,True,False,2.6,4
CONV-00068,2026-04-23 10:42:00,CUST-7224,"Customer: What's the difference between the basic and pro plans?
Bot: The pro plan adds team accounts, advanced reports and higher usage limits. You can compare plans on the pricing page.
Customer: Thanks, that's helpful.
Bot: You're welcome! Have a great day.",Product Information,web,True,False,5.4,4
CONV-00217,2026-04-23 14:37:00,CUST-5304,"Customer: Is there a student discount?
Bot: The privacy policy is linked at the bottom of every page.
Customer: Okay, got it. Thanks for the help.
Bot: Glad I could help! Is there anything else I can do for you?",General Query,messaging,True,False,2.9,4
CONV-00195,2026-04-23 22:49:00,CUST-8787,"Customer: Hello, Where can I find your privacy policy?
Bot: Yes, you earn points on every purchase. You can see your balance under Rewards.
Customer: Thanks, that's helpful.
Bot: Happy to help. Your issue has been marked as resolved.",General Query,web,True,False,1.8,4
CONV-00004,2026-04-24 15:29:00,CUST-7873,"Customer: What's the difference between the basic and pro plans?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: That's not what I asked, I wanted to know about the size.
Bot: The product comes with a 12-month warranty covering manufacturing defects.
Customer: Perfect, thank you so much.
Bot: You're welcome! Have a great day.",Product Information,web,True,False,2.6,6
CONV-00132,2026-04-24 16:56:00,CUST-6168,"Customer: What's the difference between the basic and pro plans?
Bot: I understand. Let me check that for you.
Customer: That's not what I asked, I wanted to know about the size.
Bot: I can help with that. Could you share a few more details?
Customer: That doesn't answer my question at all.",Product Information,mobile_app,False,False,1.7,5
CONV-00162,2026-04-24 20:28:00,CUST-9837,"Customer: I see an extra charge on my invoice that I don't recognise.
Bot: I can see a duplicate charge on your account. I've raised a reversal and it should reflect in 3-5 business days.
Customer: Perfect, thank you so much.
Bot: Glad I could help! Is there anything else I can do for you?",Billing,web,True,False,4.0,4
CONV-00047,2026-04-24 20:40:00,CUST-1106,"Customer: My payment went through but the invoice still shows as unpaid.
Bot: I can help with that. Could you share a few more details?
Customer: That's not what I asked. I was charged twice, not once.
Bot: I understand. Let me check that for you.
Customer: Still not working. I give up.",Billing,web,False,False,5.2,5
CONV-00102,2026-04-26 08:50:00,CUST-1520,"Customer: Where is my order? It was supposed to arrive yesterday.
Bot: Sorry about that. I've arranged a free pickup and a replacement for the correct item.
Customer: Great, that worked. Thanks!
Bot: You're welcome! Have a great day.",Order/Transaction,web,True,False,2.4,4
CONV-00167,2026-04-26 12:43:00,CUST-2679,"Customer: Do you ship internationally?
Bot: Yes, we ship to most countries. Shipping costs are shown at checkout.
Customer: Great, that worked. Thanks!
Bot: Happy to help. Your issue has been marked as resolved.",Product Information,messaging,True,False,5.0,4
CONV-00214,2026-04-26 14:40:00,CUST-4657,"Customer: Hi. Where is my order? It was supposed to arrive yesterday.
Bot: I understand. Let me check that for you.
Customer: The tracking page just says 'in transit' and nothing else.
Bot: I've created a ticket and escalated this to our specialist team. They will contact you by email within 24 hours.
Customer: Okay. I hope it actually gets fixed this time.",Order/Transaction,messaging,False,True,18.7,5
CONV-00165,2026-04-26 21:06:00,CUST-1409,"Customer: My payment failed but money was deducted from my account.
Bot: Sorry about that. I've arranged a free pickup and a replacement for the correct item.
Customer: Thanks, that's helpful.
Bot: Happy to help. Your issue has been marked as resolved.",Order/Transaction,messaging,True,False,2.1,4
CONV-00009,2026-04-28 15:08:00,CUST-4257,"Customer: Hi. Does the app work offline?
Bot: Yes, the premium plan includes priority support with faster response times.
Customer: Great, that worked. Thanks!
Bot: Happy to help. Your issue has been marked as resolved.",Product Information,messaging,True,False,5.7,4
CONV-00072,2026-04-28 20:28:00,CUST-2040,"Customer: My refund was approved but the amount is less than what I paid.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I don't want store credit, I want my money back.
Bot: I understand. Let me check that for you.
Customer: My refund was approved but the amount is less than what I paid.
Bot: I can help with that. Could you share a few more details?
Customer: Never mind.",Refund,web,False,False,5.5,7
CONV-00111,2026-04-29 10:12:00,CUST-6820,"Customer: Please cancel my order, I don't need it anymore.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: The cancel button doesn't work on the settings page.
Bot: You can close your account under Settings > Account > Close account. Would you like me to do it for you?
Customer: Okay, got it. Thanks for the help.
Bot: Happy to help. Your issue has been marked as resolved.",Cancellation,mobile_app,True,False,5.1,6
CONV-00015,2026-04-29 13:52:00,CUST-5040,"Customer: Can you explain the late fee on my latest bill?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I already checked the invoices page, the extra charge is still there.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I want to talk to a human agent.
Bot: Sorry, all our agents are busy right now. Please try again later.
Customer: That doesn't answer my question at all.",Billing,web,False,False,5.6,7
